Component, GAV, License, URL, Scope, Path
Abdera Core,org.apache.abdera:abdera-core:1.1.3:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:9.1.37/META-INF/maven/org.apache.abdera/abdera-core
Abdera Extensions - Main,org.apache.abdera:abdera-extensions-main:1.1.3:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:9.1.37/META-INF/maven/org.apache.abdera/abdera-extensions-main
Abdera Parser,org.apache.abdera:abdera-parser:1.1.3:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-aggregator-plugin:9.1.37/META-INF/maven/org.apache.abdera/abdera-parser
abego TreeLayout Core,org.abego.treelayout:org.abego.treelayout.core:1.0.1:jar,BSD License,http://treelayout.googlecode.com/files/LICENSE.TXT,binary,com.atlassian.querylang:confluence-cql-plugin:18.5.24/META-INF/lib/org.abego.treelayout.core-1.0.1.jar/META-INF/maven/org.abego.treelayout/org.abego.treelayout.core
abego TreeLayout Core,org.abego.treelayout:org.abego.treelayout.core:1.0.3:bundle,BSD License,http://treelayout.googlecode.com/files/LICENSE.TXT,binary,
Active Objects - Builder,net.java.dev.activeobjects:activeobjects-builder:4.1.3:jar,Apache License 2.0,http://activeobjects.java.net/activeobjects-builder/,binary,com.atlassian.activeobjects:activeobjects-plugin:4.1.3/META-INF/maven/net.java.dev.activeobjects/activeobjects-builder
Active Objects - Core,net.java.dev.activeobjects:activeobjects-core:4.1.3:jar,Apache License 2.0,http://activeobjects.java.net/activeobjects-core/,binary,com.atlassian.activeobjects:activeobjects-plugin:4.1.3/META-INF/maven/net.java.dev.activeobjects/activeobjects-core
Active Objects - The library,net.java.dev.activeobjects:activeobjects:4.1.3:jar,Apache License 2.0,http://activeobjects.java.net/activeobjects/,binary,
ActiveObjects Plugin - API,com.atlassian.activeobjects:activeobjects-core:4.1.3:jar,Apache 2,https://ecosystem.atlassian.net/browse/AO/activeobjects-core,binary,
ActiveObjects Plugin - Confluence SPI implementation,com.atlassian.activeobjects:activeobjects-confluence-spi:4.1.3:bundle,Apache 2,https://ecosystem.atlassian.net/browse/AO/activeobjects-confluence-spi,binary,
ActiveObjects Plugin - OSGi Bundle,com.atlassian.activeobjects:activeobjects-plugin:4.1.3:atlassian-plugin,Apache 2,https://ecosystem.atlassian.net/browse/AO/activeobjects-plugin,binary,
ActiveObjects Plugin - SPI,com.atlassian.activeobjects:activeobjects-spi:4.1.3:jar,Apache 2,https://ecosystem.atlassian.net/browse/AO/activeobjects-spi,binary,
Analytics for Confluence - Plugin,com.atlassian.confluence.plugins:analytics:18.5.24:atlassian-plugin,Atlassian Software License Agreement,https://www.atlassian.com/closedsource-pom/confluence-ancillary-plugins/analytics-parent/analytics/,binary,
Animal Sniffer Annotations,org.codehaus.mojo:animal-sniffer-annotations:1.9:jar,MIT,http://mojo.codehaus.org/animal-sniffer/animal-sniffer-annotations,binary,
antisamy,org.owasp.antisamy:antisamy:1.6.8-atlassian-4:jar,BSD 3 License,https://opensource.org/licenses/BSD-3-Clause,binary,
antisamy,org.owasp.antisamy:antisamy:1.6.8-atlassian-5:jar,BSD 3 License,https://opensource.org/licenses/BSD-3-Clause,binary,com.atlassian.streams:streams-core-plugin:9.1.37/META-INF/maven/org.owasp.antisamy/antisamy
ANTLR 3 Complete,org.antlr:antlr-complete:3.5.2:jar,BSD License,http://www.antlr.org/license.html,binary,
ANTLR 3 gUnit,org.antlr:gunit:3.5.2:jar,BSD License,http://www.antlr.org/license.html,binary,
ANTLR 3 Runtime,org.antlr:antlr-runtime:3.5.2:jar,BSD License,http://www.antlr.org/license.html,binary,
ANTLR 3 Tool,org.antlr:antlr:3.5.2:jar,BSD License,http://www.antlr.org/license.html,binary,
ANTLR 4 Runtime Annotations,org.antlr:antlr4-annotations:4.3:jar,BSD License,http://www.antlr.org/license.html,binary,com.atlassian.querylang:confluence-cql-plugin:18.5.24/META-INF/lib/antlr4-annotations-4.3.jar/META-INF/maven/org.antlr/antlr4-annotations
ANTLR 4 Runtime,org.antlr:antlr4-runtime:4.3:jar,BSD License,http://www.antlr.org/license.html,binary,com.atlassian.querylang:confluence-cql-plugin:18.5.24/META-INF/lib/antlr4-runtime-4.3.jar/META-INF/maven/org.antlr/antlr4-runtime
ANTLR 4 Runtime,org.antlr:antlr4-runtime:4.7.2:jar,BSD License,http://www.antlr.org/license.html,binary,
ANTLR 4 Runtime,org.antlr:antlr4-runtime:4.9.2:jar,BSD License,http://www.antlr.org/license.html,binary,com.atlassian.migration:migration-agent:3.9.5/lib/antlr4-runtime-4.9.2.jar/META-INF/maven/org.antlr/antlr4-runtime
ANTLR 4 Tool,org.antlr:antlr4:4.9.2:jar,BSD License,http://www.antlr.org/license.html,binary,
AntLR Parser Generator,antlr:antlr:2.7.7:jar,BSD License,http://www.antlr2.org/license.html,binary,
ANTLR StringTemplate,org.antlr:stringtemplate:3.2.1:jar,BSD License,http://antlr.org/license.html,binary,
AOP alliance,aopalliance:aopalliance:1.0:jar,Public Domain,http://aopalliance.sourceforge.net,binary,
Apache Ant + JUnit 4,org.apache.ant:ant-junit4:1.10.9:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Ant + JUnit,org.apache.ant:ant-junit:1.10.9:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Ant Core,org.apache.ant:ant:1.10.14:jar,Apache License 2.0,https://ant.apache.org/,binary,
Apache Ant Core,org.apache.ant:ant:1.10.9:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.functest:functest-plugin:1.0.3/META-INF/lib/ant-1.10.9.jar
Apache Ant Launcher,org.apache.ant:ant-launcher:1.10.14:jar,Apache License 2.0,https://ant.apache.org/,binary,
Apache Ant Launcher,org.apache.ant:ant-launcher:1.10.9:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.functest:functest-plugin:1.0.3/META-INF/lib/ant-launcher-1.10.9.jar
Apache Avro,org.apache.avro:avro:1.11.3:bundle,Apache License 2.0,https://avro.apache.org,binary,
Apache Commons BeanUtils,commons-beanutils:commons-beanutils:1.9.4:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Codec,commons-codec:commons-codec:1.14:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.streams:streams-core-plugin:9.1.37/META-INF/maven/commons-codec/commons-codec
Apache Commons Codec,commons-codec:commons-codec:1.15:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Collections,commons-collections:commons-collections:3.2.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Collections,org.apache.commons:commons-collections4:4.4:jar,Apache License -  Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Compress,org.apache.commons:commons-compress:1.21:jar,Apache License -  Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons CSV,org.apache.commons:commons-csv:1.4:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.confluence.plugins.gatekeeper:gatekeeper-plugin:18.5.24/META-INF/lib/commons-csv-1.4.jar/META-INF/maven/org.apache.commons/commons-csv
Apache Commons CSV,org.apache.commons:commons-csv:1.8:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Email,org.apache.commons:commons-email:1.5:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Exec,org.apache.commons:commons-exec:1.3:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons FileUpload,commons-fileupload:commons-fileupload:1.5:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Imaging,org.apache.commons:commons-imaging:1.0-alpha2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons IO,commons-io:commons-io:2.11.0:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Lang,org.apache.commons:commons-lang3:3.12.0:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Logging,commons-logging:commons-logging:1.2:jar,Apache License 2.0,http://commons.apache.org/proper/commons-logging/,binary,com.atlassian.httpclient:atlassian-httpclient-plugin:3.0.4/META-INF/maven/commons-logging/commons-logging
Apache Commons Math,org.apache.commons:commons-math3:3.6.1:jar,Apache License 2.0,http://commons.apache.org/proper/commons-math/,binary,
Apache Commons Pool,org.apache.commons:commons-pool2:2.6.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Text,org.apache.commons:commons-text:1.10.0:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Validator,commons-validator:commons-validator:1.5.1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Commons Validator,commons-validator:commons-validator:1.7:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.migration:migration-agent:3.9.5/lib/commons-validator-1.7.jar/META-INF/maven/commons-validator/commons-validator
Apache Felix Bundle Repository,org.apache.felix:org.apache.felix.bundlerepository:1.4.0:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Felix Framework,org.apache.felix:org.apache.felix.framework:7.0.5:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache Felix Shell Service,org.apache.felix:org.apache.felix.shell:1.2.0:bundle,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache FontBox,org.apache.pdfbox:fontbox:2.0.24:bundle,Apache License -  Version 2.0,https://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache FontBox,org.apache.pdfbox:fontbox:2.0.29:bundle,Apache License 2.0,http://pdfbox.apache.org/,binary,
Apache FreeMarker,org.freemarker:freemarker:2.3.32:jar,Apache License 2.0,https://github.com/apache/freemarker,binary,
Apache Groovy,org.codehaus.groovy:groovy-all:2.4.15:jar,Apache License 2.0,http://groovy.codehaus.org/,binary,
Apache HttpAsyncClient Cache,org.apache.httpcomponents:httpasyncclient-cache:4.1.5:jar,Apache License 2.0,LICENSE.txt,binary,
Apache HttpAsyncClient,org.apache.httpcomponents:httpasyncclient:4.1.5:jar,Apache License 2.0,LICENSE.txt,binary,
Apache HttpClient Cache,org.apache.httpcomponents:httpclient-cache:4.4.1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.migration:migration-agent:3.9.5/lib/httpclient-cache-4.4.1.jar/META-INF/maven/org.apache.httpcomponents/httpclient-cache
Apache HttpClient Cache,org.apache.httpcomponents:httpclient-cache:4.5.14:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache HttpClient Mime,org.apache.httpcomponents:httpmime:4.5.14:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache HttpClient,org.apache.httpcomponents.client5:httpclient5:5.1.3:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,com.atlassian.streams:streams-core-plugin:9.1.37/META-INF/maven/org.apache.httpcomponents.client5/httpclient5
Apache HttpClient,org.apache.httpcomponents.client5:httpclient5:5.2.1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Apache HttpClient,org.apache.httpcomponents:httpclient:4.5.14:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache HttpComponents Core HTTP/1.1,org.apache.httpcomponents.core5:httpcore5:5.1.3:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,com.atlassian.streams:streams-core-plugin:9.1.37/META-INF/maven/org.apache.httpcomponents.core5/httpcore5
Apache HttpComponents Core HTTP/1.1,org.apache.httpcomponents.core5:httpcore5:5.2.3:jar,Apache License 2.0,https://hc.apache.org/httpcomponents-core-5.2.x/5.2.3/httpcore5/,binary,
Apache HttpComponents Core HTTP/2,org.apache.httpcomponents.core5:httpcore5-h2:5.1.3:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,com.atlassian.streams:streams-core-plugin:9.1.37/META-INF/maven/org.apache.httpcomponents.core5/httpcore5-h2
Apache HttpComponents Core HTTP/2,org.apache.httpcomponents.core5:httpcore5-h2:5.2:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0,binary,
Apache HttpCore NIO,org.apache.httpcomponents:httpcore-nio:4.4.16:jar,Apache License 2.0,LICENSE.txt,binary,
Apache HttpCore,org.apache.httpcomponents:httpcore:4.4.16:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,
Apache HttpCore,org.apache.httpcomponents:httpcore:4.4.1:jar,Apache License 2.0,http://www.apache.org/licenses/LICENSE-2.0.txt,binary,com.atlassian.migration:migration-agent:3.9.5/lib/httpcore-4.4.1.jar/META-INF/maven/org.apache.httpcomponents/httpcore
Apache Log4j 1.x Compatibility API,org.apache.logging.log4j:log4j-1.2-api:2.19.0:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/license.html,binary,
Apache Log4j API,org.apache.logging.log4j:log4j-api:2.18.0:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/,binary,com.atlassian.analytics:analytics-client:8.3.2/META-INF/maven/org.apache.logging.log4j/log4j-api
Apache Log4j API,org.apache.logging.log4j:log4j-api:2.19.0:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/,binary,
Apache Log4j Core,org.apache.logging.log4j:log4j-core:2.18.0:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/license.html,binary,com.atlassian.analytics:analytics-client:8.3.2/META-INF/maven/org.apache.logging.log4j/log4j-core
Apache Log4j Core,org.apache.logging.log4j:log4j-core:2.19.0:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/license.html,binary,
Apache Log4j SLF4J Binding,org.apache.logging.log4j:log4j-slf4j-impl:2.19.0:jar,Apache License 2.0,http://logging.apache.org/log4j/2.x/license.html,binary,
