[04/Apr/2024:22:42:05 +0300] - http-nio-8090-exec-1 127.0.0.1 GET / HTTP/1.1 302 78ms - - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:05 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /bootstrap/selectsetupstep.action HTTP/1.1 302 153ms - - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /setup/setupstart.action HTTP/1.1 200 660ms 72523 - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.fb15cffa72/com.atlassian.auiplugin:split_aui.splitchunk.fb15cffa72.css HTTP/1.1 200 58ms 312 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.fbbef27525/com.atlassian.auiplugin:split_aui.splitchunk.fbbef27525.css HTTP/1.1 200 63ms 12356 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.d7c46c2734/com.atlassian.auiplugin:split_aui.splitchunk.d7c46c2734.css HTTP/1.1 200 62ms 2524 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.deprecated.component.dialog1/com.atlassian.auiplugin:split_aui.deprecated.component.dialog1.css HTTP/1.1 200 68ms 5179 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.908fe798b4/com.atlassian.auiplugin:split_aui.splitchunk.908fe798b4.css HTTP/1.1 200 4ms 23203 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.056561461c/com.atlassian.auiplugin:split_aui.splitchunk.056561461c.css HTTP/1.1 200 65ms 2636 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.949297951c/com.atlassian.auiplugin:split_aui.splitchunk.949297951c.css HTTP/1.1 200 65ms 1127 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.462ee5f9ef/com.atlassian.auiplugin:split_aui.splitchunk.462ee5f9ef.css HTTP/1.1 200 5ms 2704 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.862f26d10a/com.atlassian.auiplugin:split_aui.splitchunk.862f26d10a.css HTTP/1.1 200 5ms 6741 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.b2ecdd4179/com.atlassian.auiplugin:split_aui.splitchunk.b2ecdd4179.css HTTP/1.1 200 8ms 1423 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[04/Apr/2024:22:42:06 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/f7h4z9/9012/s1930046843/9.2.2/_/download/batch/com.atlassian.auiplugin:split_aui.splitchunk.50dca3e042/com.atlassian.auiplugin:split_aui.splitchunk.50dca3e042.css HTTP/1.1 200 11ms 31966 http://localhost:8090/setup/setupstart.action Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
