[09/Apr/2024:14:07:30 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /rest/gadgets/1.0/g/messagebundle/und/gadget.common%2Cgadget.activity.stream HTTP/1.1 200 1129ms 3997 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:07:30 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /rest/gadgets/1.0/g/messagebundle/en_GB/gadget.common%2Cgadget.activity.stream HTTP/1.1 200 32ms 3997 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:07:30 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /rest/gadgets/1.0/g/messagebundle/und/gadget.common%2Cgadget.quicknav HTTP/1.1 200 14ms 2468 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:07:30 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /rest/gadgets/1.0/g/messagebundle/en_GB/gadget.common%2Cgadget.quicknav HTTP/1.1 200 14ms 2468 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:07:30 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /rest/gadgets/1.0/g/messagebundle/und/gadget.common%2Cgadget.confluence HTTP/1.1 200 12ms 2676 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:07:30 +0300] - http-nio-8090-exec-5 127.0.0.1 GET /rest/gadgets/1.0/g/messagebundle/en_GB/gadget.common%2Cgadget.confluence HTTP/1.1 200 11ms 2676 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:08:14 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /rest/auditing/latest/statistics/database/usage HTTP/1.1 200 198ms 55 - Apache-HttpClient/4.5.14 (Java/19.0.2)
[09/Apr/2024:14:08:15 +0300] - http-nio-8090-exec-9 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/vv2rty/9012/m4ydwl/af013634bcf8ad4512a73a1780b69964/_/download/contextbatch/css/main,-_super/batch.css HTTP/1.1 200 112ms 5975 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:15 +0300] - http-nio-8090-exec-10 127.0.0.1 GET /s/caaa129019f4b181b9df82851fd9cd77-CDN/vv2rty/9012/m4ydwl/af013634bcf8ad4512a73a1780b69964/_/download/contextbatch/js/main,-_super/batch.js?locale=en-US HTTP/1.1 200 140ms 3670 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:15 +0300] - http-nio-8090-exec-1 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/vv2rty/9012/m4ydwl/11be15ca2985ac1ea8b932ee93ab5fa1/_/download/contextbatch/css/dashboard,backbone-dashboard,atl.general,com.atlassian.confluence.extra.team-calendars.user-calendar,zdu-banner-all,-_super/batch.css?healthcheck-resources=true&hostenabled=true&tc-license-setup=true&user-logged-in=true HTTP/1.1 200 166ms 24844 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:15 +0300] admin http-nio-8090-exec-8 127.0.0.1 GET / HTTP/1.1 200 2963ms 9521 - Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:15 +0300] - http-nio-8090-exec-2 127.0.0.1 GET /s/69282c6696a6a2a11e8ee18b555483df-CDN/vv2rty/9012/m4ydwl/11be15ca2985ac1ea8b932ee93ab5fa1/_/download/contextbatch/js/dashboard,backbone-dashboard,atl.general,com.atlassian.confluence.extra.team-calendars.user-calendar,zdu-banner-all,-_super/batch.js?healthcheck-resources=true&hostenabled=true&locale=en-US&tc-license-setup=true&user-logged-in=true HTTP/1.1 200 598ms 122416 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:15 +0300] - http-nio-8090-exec-6 127.0.0.1 GET /s/d41d8cd98f00b204e9800998ecf8427e-CDN/vv2rty/9012/m4ydwl/11be15ca2985ac1ea8b932ee93ab5fa1/_/download/contextbatch/css/dashboard,backbone-dashboard,atl.general,com.atlassian.confluence.extra.team-calendars.user-calendar,zdu-banner-all,-_super/batch.css?healthcheck-resources=true&hostenabled=true&media=print&tc-license-setup=true&user-logged-in=true HTTP/1.1 200 23ms 1009 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:16 +0300] - http-nio-8090-exec-7 127.0.0.1 GET /download/resources/com.atlassian.confluence.plugins.system-templates:system-template-resources/assets/images/welcome.png HTTP/1.1 200 31ms 16098 http://localhost:8090/ Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:16 +0300] - http-nio-8090-exec-4 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/1.0/_/download/resources/confluence.web.resources:ajs/images/brand-images/atlassian/atlassian-horizontal-neutral.svg HTTP/1.1 200 18ms 2711 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:16 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/1.0/_/download/resources/confluence.web.resources:ajs/images/brand-images/products/confluence-white.svg HTTP/1.1 200 22ms 7035 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:16 +0300] - http-nio-8090-exec-3 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/9.2.2/_/download/resources/com.atlassian.auiplugin:split_aui.splitchunk.56dfb54d0c/assets/adgs-icons.woff HTTP/1.1 200 15ms 8206 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
[09/Apr/2024:14:08:16 +0300] - http-nio-8090-exec-8 127.0.0.1 GET /s/vv2rty/9012/m4ydwl/18.5.24/_/download/resources/com.atlassian.confluence.plugins.confluence-icons:confluence-icon-resources/assets/icons/confluence-icon-all.svg HTTP/1.1 200 17ms 455 http://localhost:8090/s/98b45bdeb6272f075aded8429c1ca590-CDN/vv2rty/9012/m4ydwl/f54e1e6a7a67c22db9843209075e4af4/_/download/contextbatch/css/_super,-com.atlassian.plugins.atlassian-plugins-webresource-rest:data-collector-perf-observer/batch.css Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0
